Age,Income,Outage_sec_perweek,Gender_Male,Gender_Nonbinary,Area_Suburban,Area_Urban,InternetService_Fiber Optic,InternetService_None,Phone_Yes,OnlineSecurity_Yes,DeviceProtection_Yes,StreamingMovies_Yes,OnlineBackup_Yes,Churn
68,28561.99,7.978322947,1,0,0,1,1,0,1,1,0,1,1,0
27,21704.77,11.69907956,0,0,0,1,1,0,1,1,0,1,0,1
50,9609.57,10.75280028,0,0,0,1,0,0,1,0,0,1,0,0
48,18925.23,14.91353964,1,0,1,0,0,0,1,1,0,0,0,0
83,40074.19,8.147416533,1,0,1,0,1,0,0,0,0,0,0,1
83,22660.2,8.420992898,0,0,0,1,0,1,1,1,1,1,1,0
79,11467.5,11.18272453,1,0,1,0,0,0,1,0,0,1,0,1
30,26759.64,7.791632265,0,0,1,0,0,0,0,0,0,0,1,1
49,58634.51,5.739005915,0,1,1,0,0,0,1,1,0,0,1,0
86,50231.4,8.707823904,0,0,0,0,1,0,1,1,1,1,0,0
23,22580.7,9.341631685,0,0,0,1,0,0,1,1,0,0,1,0
56,18342.12,6.68082638,0,0,0,0,1,0,1,0,1,0,0,0
83,83671.08,8.273875452,1,0,0,0,1,0,1,0,0,0,0,0
29,115114.57,5.880565591,0,0,0,1,1,0,1,1,0,0,0,0
30,64256.81,11.79073041,1,0,0,1,0,0,0,0,0,0,1,1
39,89061.45,10.79846973,1,0,1,0,0,1,1,1,0,1,0,1
63,31659.3,13.52284721,0,0,0,1,0,0,1,0,1,1,1,1
60,44142.81,9.831166695,1,0,0,0,0,1,1,1,1,1,0,1
61,39262.14,9.57470568,0,0,0,0,0,1,1,0,1,0,1,0
23,19494.75,10.92246098,1,0,0,0,0,0,1,0,0,0,0,1
38,39624.21,12.06889188,1,0,0,0,1,0,1,1,1,1,1,0
30,45714.47,6.984819996,1,0,1,0,1,0,1,1,1,0,0,0
52,27442.03,9.372975594,1,0,0,1,1,0,1,0,0,0,0,0
68,79699.62,7.109002592,1,0,0,1,1,0,1,0,0,0,0,0
75,28520.32,13.74777955,0,0,0,0,0,1,1,1,1,1,0,1
77,12558.83,9.767668044,1,0,1,0,0,0,1,0,0,0,0,1
47,8762.23,15.8626095,0,0,0,0,1,0,1,1,1,1,0,1
70,43882.72,14.73616645,0,0,0,1,0,1,1,0,1,0,1,1
20,10482.52,13.43558029,0,0,0,1,0,0,1,0,1,1,0,1
69,33442.79,10.61771118,1,0,1,0,0,0,1,1,1,1,1,1
45,43383.54,6.613070806,1,0,0,1,1,0,0,0,0,1,1,0
40,21793.88,4.450171647,0,0,0,0,0,1,1,0,0,0,1,0
82,51960.51,8.774646693,0,0,0,0,1,0,1,0,0,1,1,1
74,25942.1,11.13156721,1,0,0,0,0,0,1,1,0,0,1,1
69,11211.59,5.540788887,1,0,0,1,1,0,1,1,1,1,0,1
52,8283.29,13.80362698,1,0,1,0,0,0,1,1,0,0,1,1
26,10114.81,16.31017089,0,0,1,0,1,0,1,1,1,1,1,1
25,36229.21,9.447065309,0,0,0,1,0,0,1,1,1,0,0,0
66,25397.44,16.84100845,0,0,1,0,1,0,1,1,0,1,1,0
72,50336.5,7.972937227,1,0,1,0,1,0,1,0,1,0,1,0
21,38211.37,11.42906608,0,0,0,1,1,0,1,0,1,0,1,0
55,52887.26,8.06137096,1,0,1,0,0,0,1,1,0,0,0,0
41,12003.33,12.54780492,1,0,1,0,1,0,1,1,0,1,0,1
32,24090.62,8.255565152,1,0,1,0,1,0,1,0,0,1,0,0
22,15137.93,13.156514,0,0,0,0,1,0,1,1,0,1,0,1
44,54458.38,10.58349704,0,0,0,1,0,1,1,1,1,1,1,1
23,132116.33,12.50184778,1,0,1,0,1,0,1,1,0,1,1,1
43,37358.13,9.750038902,0,0,1,0,1,0,1,1,1,0,1,1
86,26534.16,7.868660851,0,0,0,0,0,1,1,0,0,0,0,0
84,76430.83,12.43563329,0,0,1,0,0,1,1,0,0,0,0,0
62,4662.37,8.957166926,0,0,0,1,0,0,1,0,1,1,0,1
68,43820.85,8.015021713,0,0,0,1,0,1,1,0,1,1,0,1
59,38391.55,4.210347704,0,0,1,0,1,0,1,0,1,0,0,0
31,44137.6,11.13960534,0,0,0,1,1,0,1,0,0,0,0,1
51,14364.65,9.03738856,1,0,0,1,1,0,1,1,1,0,0,1
58,62359.91,10.91594785,0,0,1,0,0,0,1,0,1,0,0,0
73,82634.86,8.387624096,1,0,1,0,0,0,1,0,0,0,1,1
33,15690.25,11.4487514,0,0,0,0,0,1,1,1,1,1,0,0
